Index,Parcel List
289,19-04-19-0-000-021.001
290,19-04-19-0-000-022.000
291,19-04-19-0-000-022.002
292,19-04-19-0-000-024.000
293,19-04-19-0-000-024.001
294,19-04-19-0-000-024.002
295,19-04-19-0-000-025.000
296,19-04-19-0-000-025.001
297,19-04-19-0-000-025.002
298,19-04-19-0-000-026.000
299,19-04-19-0-000-026.001
300,19-04-19-0-000-026.002
301,19-04-19-0-000-026.003
302,19-04-19-0-000-026.004
303,19-04-19-0-000-026.005
304,19-04-19-0-000-027.000
305,19-04-19-0-000-028.000
306,19-04-19-0-000-029.000
307,19-04-20-0-000-001.000
308,19-04-20-0-000-002.000
309,19-04-20-0-000-002.001
310,19-04-20-0-000-002.002
311,19-04-20-0-000-003.000
312,19-04-20-0-000-003.001
313,19-04-20-0-000-004.000
314,19-04-20-0-000-004.001
315,19-04-20-0-000-004.002
316,19-04-20-0-000-004.003
317,19-04-20-0-000-005.000
318,19-04-20-0-000-005.001
319,19-04-20-0-000-005.002
320,19-04-20-0-000-005.003
321,19-04-20-0-000-005.005
322,19-04-20-0-000-006.000
323,19-04-20-0-000-007.000
324,19-04-20-0-000-008.000
325,19-04-20-0-000-009.000
326,19-04-20-0-000-009.001
327,19-04-20-0-000-010.000
328,19-04-20-0-000-011.000
329,19-04-20-0-000-011.001
330,19-04-20-0-000-011.002
331,19-04-20-0-000-011.003
332,19-04-20-0-000-011.004
333,19-04-20-0-000-011.005
334,19-04-20-0-000-011.006
335,19-04-20-0-000-011.007
336,19-04-20-0-000-012.000
337,19-04-20-0-000-012.001
338,19-04-20-0-000-012.002
339,19-04-20-0-000-012.003
340,19-04-20-0-000-012.004
341,19-04-20-0-000-013.000
342,19-04-20-0-000-013.001
343,19-04-20-0-000-014.000
344,19-04-20-0-000-014.001
345,19-04-20-0-000-014.002
346,19-04-20-0-000-016.000
347,19-04-20-0-000-017.000
348,19-04-20-0-000-018.000
349,19-04-20-0-000-018.001
350,19-04-20-0-000-019.000
351,19-04-20-0-000-020.000
352,19-04-20-0-000-021.000
353,19-04-20-0-000-022.000
354,19-04-20-0-000-023.000
355,19-04-20-0-000-024.000
356,19-04-20-0-000-025.000
357,19-04-20-0-000-026.000
358,19-04-20-0-000-026.001
359,19-04-20-0-000-026.002
360,19-04-20-0-000-026.003
361,19-04-20-0-000-026.004
362,19-04-20-0-000-027.000
363,19-04-20-0-000-027.001
364,19-04-20-0-000-027.002
365,19-04-20-0-000-027.003
366,19-04-20-0-000-027.004
367,19-04-20-0-000-028.000
368,19-04-20-0-000-029.000
369,19-04-20-0-000-030.000
370,19-04-20-0-000-030.001
371,19-04-20-0-000-031.000
372,19-04-20-0-000-031.001
373,19-04-20-0-000-031.002
374,19-04-20-0-000-032.000
375,19-04-20-0-000-033.000
376,19-04-20-0-000-033.001
377,19-04-20-0-000-034.000
378,19-04-20-0-000-035.000
379,19-04-20-0-000-036.000
380,19-04-20-0-000-036.001
381,19-04-20-0-000-036.002
382,19-04-20-0-000-037.000
383,19-04-20-0-000-037.001
384,19-04-20-0-000-038.000
385,19-04-20-0-000-039.000
386,19-04-20-0-000-040.000
387,19-04-20-0-000-041.000
388,19-04-20-0-000-042.000
389,19-04-20-0-000-042.001
390,19-04-20-0-000-043.000
391,19-04-20-0-000-043.001
392,19-04-20-0-000-044.000
393,19-04-20-0-000-044.001
394,19-04-20-0-000-044.002
395,19-04-20-0-000-044.003
396,19-04-20-0-000-044.004
397,19-04-20-0-000-044.005
398,19-04-20-0-000-044.006
399,19-04-20-0-000-044.007
400,19-04-20-0-000-044.008
401,19-04-20-0-000-044.009
402,19-04-20-0-000-044.010
403,19-04-20-0-000-044.011
404,19-04-20-0-000-044.012
405,19-04-20-0-000-044.013
406,19-04-20-0-000-044.014
407,19-04-20-0-000-044.015
408,19-04-20-0-000-044.016
409,19-04-20-0-000-044.017
410,19-04-20-0-000-044.018
411,19-04-20-0-000-044.019
412,19-04-20-0-000-044.020
413,19-04-20-0-000-044.021
414,19-04-20-0-000-044.022
415,19-04-20-0-000-044.023
416,19-04-20-0-000-044.024
417,19-04-20-0-000-044.025
418,19-04-20-0-000-044.026
419,19-04-20-0-000-044.027
420,19-04-20-0-000-044.028
421,19-04-20-0-000-044.029
422,19-04-20-0-000-044.030
423,19-04-20-0-000-044.031
424,19-04-20-0-000-044.032
425,19-04-20-0-000-044.033
426,19-04-20-0-000-044.034
427,19-04-20-0-000-044.035
428,19-04-20-0-000-045.000
429,19-04-20-0-000-046.000
430,19-04-20-0-000-047.000
431,19-04-20-0-000-047.001
432,19-04-20-0-000-047.002
433,19-04-20-0-000-047.003
434,19-04-20-0-000-048.000
435,19-04-20-0-000-048.001
436,19-04-20-0-000-049.000
437,19-04-20-0-000-050.000
438,19-04-20-0-000-050.001
439,19-04-20-0-000-050.002
440,19-04-20-0-000-050.003
441,19-04-20-0-000-050.006
442,19-04-20-0-000-050.007
443,19-04-20-0-000-051.000
444,19-04-20-0-000-051.001
445,19-04-20-0-000-051.002
446,19-04-20-0-000-051.003
447,19-04-20-0-000-051.004
448,19-04-20-0-000-051.005
449,19-04-20-0-000-051.006
450,19-04-20-0-000-051.009
451,19-04-20-0-000-051.010
452,19-04-20-0-000-051.011
453,19-04-20-0-000-051.012
454,19-04-20-0-000-051.013
455,19-04-20-0-000-051.014
456,19-04-20-0-000-051.015
